"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"01/05/2025","14.550","14.484","98,929.063","14.484","468.32K","-99.99%"
"01/04/2025","99,947.500","14.154","99,947.500","14.152","1.42M","706,242.78%"
"01/03/2025","14.150","13.585","14.160","13.572","3.60M","7.60%"
"01/02/2025","13.150","13.156","13.173","13.145","1.60M","0.00%"
"01/01/2025","13.150","12.300","13.190","12.270","2.68M","8.19%"
"01/12/2024","12.154","11.636","12.283","11.636","11.62M","9.00%"
"01/11/2024","11.150","11.050","11.162","11.050","1.85M","4.69%"
"01/10/2024","10.650","10.656","10.660","10.652","1.36M","0.00%"
"01/09/2024","10.650","10.538","10.660","10.508","8.82M","2.40%"
"01/08/2024","10.400","10.414","10.418","10.402","5.64M","0.00%"
"01/07/2024","10.400","10.420","10.438","10.396","2.05M","0.00%"
"01/06/2024","10.400","10.388","10.464","10.374","6.54M","0.00%"
"01/05/2024","10.400","10.436","10.450","10.380","2.71M","-2.35%"
"01/04/2024","10.650","10.654","10.700","10.640","3.82M","0.00%"
"01/03/2024","10.650","11.012","11.014","10.644","3.83M","-4.48%"
"01/02/2024","11.150","11.150","11.170","11.148","1.22M","-4.29%"
"01/01/2024","11.650","11.648","11.656","11.642","1.12M","0.13%"
"01/12/2023","11.635","11.870","11.878","11.630","3.46M","-4.24%"
"01/11/2023","12.150","12.186","12.188","12.146","1.39M","-3.95%"
"01/10/2023","12.650","12.654","12.698","12.650","1.37M","0.00%"
"01/09/2023","12.650","12.968","12.976","12.628","1.96M","-3.80%"
"01/08/2023","13.150","13.234","13.316","13.146","2.93M","-3.66%"
"01/07/2023","13.650","13.650","13.654","13.646","907.64K","0.00%"
"01/06/2023","13.650","13.640","13.652","13.626","4.40M","0.00%"
"01/05/2023","13.650","13.646","13.654","13.642","1.56M","0.00%"
"01/04/2023","13.650","13.650","13.678","13.640","1.08M","0.00%"
"01/03/2023","13.650","13.642","13.660","13.600","2.34M","0.00%"
"01/02/2023","13.650","13.656","13.660","13.630","838.79K","0.00%"
"01/01/2023","13.650","13.660","13.660","13.640","790.28K","-0.03%"
"01/12/2022","13.654","13.682","13.684","13.650","3.20M","0.03%"
"01/11/2022","13.650","13.650","13.690","13.650","693.69K","0.00%"
"01/10/2022","13.650","13.654","13.664","13.648","655.79K","0.00%"
"01/09/2022","13.650","13.674","13.724","13.650","11.61M","0.00%"
"01/08/2022","13.650","13.580","13.660","13.568","1.15M","3.80%"
"01/07/2022","13.150","13.156","13.158","13.148","713.14K","0.00%"
"01/06/2022","13.150","12.916","13.164","12.900","4.28M","3.95%"
"01/05/2022","12.650","12.512","12.658","12.470","549.63K","8.58%"
"01/04/2022","11.650","11.652","11.658","11.646","449.23K","0.00%"
"01/03/2022","11.650","11.166","11.654","11.164","5.63M","9.39%"
"01/02/2022","10.650","10.504","10.658","10.464","888.97K","16.39%"
"01/01/2022","9.150","9.150","9.162","9.148","460.57K","0.00%"
"01/12/2021","9.150","8.762","9.158","8.762","4.01M","19.61%"
"01/11/2021","7.650","7.672","7.710","7.650","1.10M","0.00%"
"01/10/2021","7.650","6.260","7.660","6.250","1.94M","24.39%"
"01/09/2021","6.150","5.442","6.160","5.440","6.64M","19.42%"
"01/08/2021","5.150","5.018","5.158","5.018","1.77M","24.10%"
"01/07/2021","4.150","4.152","4.188","4.126","1.50M","0.00%"
"01/06/2021","4.150","3.762","4.156","3.754","5.53M","22.06%"
"01/05/2021","3.400","3.310","3.600","3.298","2.12M","28.30%"
"01/04/2021","2.650","2.660","2.670","2.430","976.61K","0.00%"
"01/03/2021","2.650","2.120","2.700","2.120","11.28M","39.47%"
"01/02/2021","1.900","1.878","1.960","1.870","1.98M","0.00%"
"01/01/2021","1.900","1.910","1.922","1.894","2.26M","-0.05%"
"01/12/2020","1.901","1.928","1.930","1.892","2.93M","0.05%"
"01/11/2020","1.900","1.905","1.916","1.895","1.66M","0.00%"
"01/10/2020","1.900","1.910","1.950","1.898","1.89M","0.00%"
"01/09/2020","1.900","1.912","1.925","1.880","3.64M","0.00%"
"01/08/2020","1.900","1.970","1.980","1.870","2.14M","-11.63%"
"01/07/2020","2.150","2.154","2.200","2.140","1.07M","0.00%"
"01/06/2020","2.150","2.625","2.625","2.110","4.99M","-25.86%"
"01/05/2020","2.900","3.160","3.180","2.890","2.33M","-20.55%"
"01/04/2020","3.650","3.645","3.700","3.600","1.75M","0.00%"
"01/03/2020","3.650","4.102","4.223","3.580","11.30M","-12.05%"
"01/02/2020","4.150","4.235","4.235","4.150","2.22M","-5.68%"
"01/01/2020","4.400","4.410","4.422","4.398","1.79M","-0.07%"
"01/12/2019","4.403","4.641","4.646","4.380","16.65M","-10.14%"
"01/11/2019","4.900","4.908","4.912","4.900","1.30M","0.00%"
"01/10/2019","4.900","5.382","5.395","5.120","2.09M","-9.26%"
"01/09/2019","5.400","5.740","5.800","5.350","4.14M","-8.47%"
"01/08/2019","5.900","5.900","5.920","5.885","2.27M","-7.81%"
"01/07/2019","6.400","6.404","6.415","6.393","1.88M","0.00%"
"01/06/2019","6.400","6.410","6.412","6.342","5.35M","0.00%"
"01/05/2019","6.400","6.404","6.420","6.385","1.06M","0.00%"
"01/04/2019","6.400","6.415","6.500","6.395","690.68K","0.00%"
"01/03/2019","6.400","6.398","6.435","6.390","1.40M","0.00%"
"01/02/2019","6.400","6.403","6.407","6.350","700.19K","0.00%"
"01/01/2019","6.400","6.405","6.415","6.395","718.25K","0.02%"
"01/12/2018","6.399","6.410","6.415","6.370","1.75M","-0.02%"
"01/11/2018","6.400","6.403","6.420","6.395","908.85K","0.00%"
"01/10/2018","6.400","6.415","6.420","6.400","1.45M","0.16%"
"01/09/2018","6.390","6.450","6.470","6.385","2.11M","0.00%"
"01/08/2018","6.390","6.404","6.410","6.379","775.15K","0.00%"
"01/07/2018","6.390","6.407","6.415","6.370","532.34K","0.00%"
"01/06/2018","6.390","6.429","6.710","6.385","4.67M","0.00%"
"01/05/2018","6.390","6.315","6.450","6.225","1.74M","0.00%"
"01/04/2018","6.390","6.395","6.400","6.350","528.05K","0.00%"
"01/03/2018","6.390","6.600","6.604","6.385","2.40M","-3.77%"
"01/02/2018","6.640","6.709","6.716","6.635","1.03M","-3.63%"
"01/01/2018","6.890","6.897","6.940","6.870","604.10K","-0.01%"
"01/12/2017","6.891","6.971","7.005","6.800","2.06M","-6.75%"
"01/11/2017","7.390","7.400","7.400","7.385","465.99K","0.00%"
"01/10/2017","7.390","8.010","8.010","7.390","1.55M","-9.21%"
"01/09/2017","8.140","8.400","8.400","8.130","2.96M","-10.94%"
"01/08/2017","9.140","9.140","9.218","9.135","386.47K","0.00%"
"01/07/2017","9.140","10.024","10.024","9.130","516.78K","-9.86%"
"01/06/2017","10.140","10.145","10.150","10.138","4.30M","-8.89%"
"01/05/2017","11.130","11.125","11.150","11.125","621.29K","0.00%"
"01/04/2017","11.130","11.590","11.590","11.125","684.97K","-8.24%"
"01/03/2017","12.130","12.134","12.135","12.100","1.96M","0.00%"
"01/02/2017","12.130","12.802","12.802","12.130","489.90K","-5.82%"
"01/01/2017","12.880","13.280","13.280","12.860","1.10M","-5.50%"
