time,cpi_mom,cpi_yoy
1995-12-01,100.3,112.91
1996-01-01,100.9,109.76
1996-02-01,102.5,108.8
1996-03-01,100.8,109.46
1996-04-01,100.1,108.48
1996-05-01,99.5,106.03
1996-06-01,99.5,104.66
1996-07-01,99.3,103.93
1996-08-01,99.6,103.2
1996-09-01,100.3,103.0
1996-10-01,100.1,103.0
1996-11-01,100.9,103.82
1996-12-01,101.0,104.55
1997-01-01,100.8,104.44
1997-02-01,101.8,103.73
1997-03-01,99.5,102.39
1997-04-01,99.4,101.68
1997-05-01,99.5,101.68
1997-06-01,100.1,102.29
1997-07-01,100.2,103.22
1997-08-01,100.1,103.73
1997-09-01,100.6,104.05
1997-10-01,100.3,104.25
1997-11-01,100.3,103.63
1997-12-01,101.0,103.63
1998-01-01,101.6,104.46
1998-02-01,102.2,104.87
1998-03-01,99.2,104.55
1998-04-01,101.6,106.86
1998-05-01,101.4,108.9
1998-06-01,100.0,108.8
1998-07-01,99.5,108.04
1998-08-01,101.1,109.11
1998-09-01,101.0,109.55
1998-10-01,100.3,109.55
1998-11-01,100.1,109.33
1998-12-01,100.8,109.11
1999-01-01,101.7,109.22
1999-02-01,101.9,108.9
1999-03-01,99.3,109.01
1999-04-01,99.4,106.65
1999-05-01,99.6,104.76
1999-06-01,99.7,104.44
1999-07-01,99.6,104.55
1999-08-01,99.6,103.0
1999-09-01,99.4,101.36
1999-10-01,99.0,100.05
1999-11-01,100.4,100.35
1999-12-01,100.5,100.05
2000-01-01,100.4,98.77
2000-02-01,101.6,98.48
2000-03-01,98.9,98.09
2000-04-01,99.3,97.99
2000-05-01,99.4,97.79
2000-06-01,99.5,97.59
2000-07-01,99.4,97.4
2000-08-01,100.1,97.89
2000-09-01,99.8,98.28
2000-10-01,100.1,99.37
2000-11-01,100.9,99.87
2000-12-01,100.1,99.47
2001-01-01,100.3,99.37
2001-02-01,100.4,98.2
2001-03-01,99.3,98.59
2001-04-01,99.5,98.79
2001-05-01,99.8,99.19
2001-06-01,100.0,99.69
2001-07-01,99.8,100.09
2001-08-01,100.0,99.99
2001-09-01,100.5,100.69
2001-10-01,100.0,100.59
2001-11-01,100.2,99.89
2001-12-01,101.0,100.79
2002-01-01,101.1,101.6
2002-02-01,102.2,103.42
2002-03-01,99.2,103.31
2002-04-01,100.0,103.83
2002-05-01,100.3,104.35
2002-06-01,100.1,104.46
2002-07-01,99.9,104.56
2002-08-01,100.1,104.67
2002-09-01,100.2,104.35
2002-10-01,100.3,104.67
2002-11-01,100.3,104.77
2002-12-01,100.3,104.04
2003-01-01,100.9,103.84
2003-02-01,102.2,103.84
2003-03-01,99.4,104.05
2003-04-01,100.0,104.05
2003-05-01,99.9,103.63
2003-06-01,99.7,103.22
2003-07-01,99.7,103.01
2003-08-01,99.9,102.81
2003-09-01,100.1,102.7
2003-10-01,99.8,102.19
2003-11-01,100.6,102.5
2003-12-01,100.8,103.01
2004-01-01,101.1,103.21
2004-02-01,103.0,104.02
2004-03-01,100.8,105.49
2004-04-01,100.5,106.01
2004-05-01,100.9,107.07
2004-06-01,100.8,108.26
2004-07-01,100.5,109.12
2004-08-01,100.6,109.89
2004-09-01,100.3,110.11
2004-10-01,100.0,110.33
2004-11-01,100.2,109.89
2004-12-01,100.6,109.67
2005-01-01,101.1,109.67
2005-02-01,102.5,109.14
2005-03-01,100.1,108.38
2005-04-01,100.6,108.49
2005-05-01,100.5,108.06
2005-06-01,100.4,107.63
2005-07-01,100.4,107.52
2005-08-01,100.4,107.31
2005-09-01,100.8,107.85
2005-10-01,100.4,108.28
2005-11-01,100.4,108.49
2005-12-01,100.8,108.71
2006-01-01,101.2,108.82
2006-02-01,102.1,108.39
2006-03-01,99.5,107.74
2006-04-01,100.2,107.31
2006-05-01,100.6,107.42
2006-06-01,100.4,107.42
2006-07-01,100.4,107.42
2006-08-01,100.4,107.42
2006-09-01,100.3,106.89
2006-10-01,100.2,106.67
2006-11-01,100.6,106.89
2006-12-01,100.5,106.57
2007-01-01,101.1,106.46
2007-02-01,102.2,106.57
2007-03-01,99.8,106.89
2007-04-01,100.5,107.21
2007-05-01,100.8,107.42
2007-06-01,100.9,107.96
2007-07-01,100.9,108.49
2007-08-01,100.6,108.71
2007-09-01,100.5,108.93
2007-10-01,100.7,109.47
2007-11-01,101.2,110.12
2007-12-01,102.9,112.75
2008-01-01,102.38,114.18
2008-02-01,103.56,115.7
2008-03-01,102.99,119.4
2008-04-01,102.2,121.42
2008-05-01,103.91,125.16
2008-06-01,102.14,126.7
2008-07-01,101.13,126.99
2008-08-01,101.56,128.2
2008-09-01,100.18,127.8
2008-10-01,99.81,126.67
2008-11-01,99.24,124.21
2008-12-01,99.32,119.89
2009-01-01,100.32,117.48
2009-02-01,101.17,114.77
2009-03-01,99.83,111.25
2009-04-01,100.35,109.23
2009-05-01,100.44,105.58
2009-06-01,100.55,103.94
2009-07-01,100.52,103.31
2009-08-01,100.24,101.97
2009-09-01,100.62,102.42
2009-10-01,100.37,102.99
2009-11-01,100.55,104.35
2009-12-01,101.38,106.52
2010-01-01,101.36,107.62
2010-02-01,101.96,108.46
2010-03-01,100.75,109.46
2010-04-01,100.14,109.23
2010-05-01,100.27,109.05
2010-06-01,100.22,108.69
2010-07-01,100.06,108.19
2010-08-01,100.23,108.18
2010-09-01,101.31,108.92
2010-10-01,101.05,109.66
2010-11-01,101.86,111.09
2010-12-01,101.98,111.75
2011-01-01,101.74,112.17
2011-02-01,102.09,112.31
2011-03-01,102.17,113.89
2011-04-01,103.32,117.51
2011-05-01,102.21,119.78
2011-06-01,101.09,120.82
2011-07-01,101.17,122.16
2011-08-01,100.93,123.02
2011-09-01,100.82,122.42
2011-10-01,100.36,121.59
2011-11-01,100.39,119.83
2011-12-01,100.53,118.13
2012-01-01,101.0,117.27
2012-02-01,101.37,116.44
2012-03-01,100.16,114.15
2012-04-01,100.05,110.54
2012-05-01,100.18,108.34
2012-06-01,99.74,106.9
2012-07-01,99.71,105.35
2012-08-01,100.63,105.04
2012-09-01,102.2,106.48
2012-10-01,100.85,107.0
2012-11-01,100.47,107.08
2012-12-01,100.27,106.81
2013-01-01,101.25,107.07
2013-02-01,101.32,107.02
2013-03-01,99.81,106.64
2013-04-01,100.02,106.61
2013-05-01,99.94,106.36
2013-06-01,100.05,106.69
2013-07-01,100.27,107.29
2013-08-01,100.83,107.5
2013-09-01,101.06,106.3
2013-10-01,100.49,105.92
2013-11-01,100.34,105.78
2013-12-01,100.51,106.04
2014-01-01,100.69,105.45
2014-02-01,100.55,104.65
2014-03-01,99.56,104.39
2014-04-01,100.08,104.45
2014-05-01,100.2,104.72
2014-06-01,100.3,104.98
2014-07-01,100.23,104.94
2014-08-01,100.22,104.31
2014-09-01,100.4,103.62
2014-10-01,100.11,103.23
2014-11-01,99.73,102.6
2014-12-01,99.76,101.84
2015-01-01,99.8,100.94
2015-02-01,99.95,100.34
2015-03-01,100.15,100.93
2015-04-01,100.14,100.99
2015-05-01,100.16,100.95
2015-06-01,100.35,101.0
2015-07-01,100.13,100.9
2015-08-01,99.93,100.61
2015-09-01,99.79,100.0
