Ngày,oil_price,gold_price,interest_rate
1995-01-01,18.39,377.7,
1995-02-01,18.49,378.3,
1995-03-01,19.17,394.3,
1995-04-01,20.38,388.5,
1995-05-01,18.89,387.6,
1995-06-01,17.4,385.6,
1995-07-01,17.56,388.4,
1995-08-01,17.84,386.9,
1995-09-01,17.54,386.5,
1995-10-01,17.64,384.3,
1995-11-01,18.18,388.6,
1995-12-01,19.55,388.1,
1996-01-01,17.74,408.5,
1996-02-01,19.54,401.2,
1996-03-01,21.47,398.4,
1996-04-01,21.2,393.5,25.41
1996-05-01,19.76,394.4,24.29
1996-06-01,20.92,381.6,23.17
1996-07-01,20.42,393.1,24.68
1996-08-01,22.25,391.3,24.61
1996-09-01,24.38,380.5,23.27
1996-10-01,23.35,379.1,23.89
1996-11-01,23.75,373.0,23.920350877192984
1996-12-01,25.92,369.2,23.950701754385964
1997-01-01,24.15,346.0,23.981052631578947
1997-02-01,20.3,365.1,24.01140350877193
1997-03-01,20.41,354.0,24.041754385964914
1997-04-01,20.21,341.2,24.072105263157894
1997-05-01,20.88,347.5,24.102456140350878
1997-06-01,19.8,335.3,24.13280701754386
1997-07-01,20.14,328.6,24.16315789473684
1997-08-01,19.61,327.4,24.193508771929825
1997-09-01,21.18,336.9,24.223859649122808
1997-10-01,21.08,312.1,24.25421052631579
1997-11-01,19.15,296.9,24.28456140350877
1997-12-01,17.64,289.9,24.314912280701755
1998-01-01,17.21,304.6,24.34526315789474
1998-02-01,15.44,300.1,24.37561403508772
1998-03-01,15.61,303.3,24.4059649122807
1998-04-01,15.39,307.9,24.436315789473685
1998-05-01,15.2,295.1,24.46666666666667
1998-06-01,14.18,298.1,24.49701754385965
1998-07-01,14.21,290.5,24.527368421052632
1998-08-01,13.34,278.9,24.557719298245615
1998-09-01,16.14,299.0,24.5880701754386
1998-10-01,14.42,293.7,24.61842105263158
1998-11-01,11.22,295.1,24.648771929824562
1998-12-01,12.05,289.2,24.679122807017546
1999-01-01,12.75,288.2,24.709473684210526
1999-02-01,12.27,288.3,24.73982456140351
1999-03-01,16.76,281.9,24.770175438596493
1999-04-01,18.66,287.8,24.800526315789476
1999-05-01,16.84,272.0,24.830877192982456
1999-06-01,19.29,263.6,24.86122807017544
1999-07-01,20.53,258.8,24.891578947368423
1999-08-01,22.11,257.3,24.921929824561403
1999-09-01,24.51,299.5,24.952280701754386
1999-10-01,21.75,300.3,24.98263157894737
1999-11-01,24.59,293.0,25.012982456140353
1999-12-01,25.6,289.6,25.043333333333333
2000-01-01,27.64,286.2,25.073684210526316
2000-02-01,30.43,294.2,25.1040350877193
2000-03-01,26.9,281.4,25.134385964912283
2000-04-01,25.74,274.7,25.164736842105263
2000-05-01,29.01,274.8,25.195087719298247
2000-06-01,32.5,291.5,25.22543859649123
2000-07-01,27.43,283.2,25.25578947368421
2000-08-01,33.12,282.1,25.286140350877194
2000-09-01,30.84,276.9,25.316491228070177
2000-10-01,32.7,266.4,25.34684210526316
2000-11-01,33.82,273.3,25.37719298245614
2000-12-01,26.8,273.6,25.407543859649124
2001-01-01,28.66,268.0,25.437894736842107
2001-02-01,27.39,267.8,25.468245614035087
